Province,0.6312,0.3092,-0.5,0.8,-0.2086,0.1064,-0.6316,-0.4021,0.0145,-0.7094,-0.4209,-0.2215,0.1147,-0.4951,-0.1832,-0.5702,-0.2731,-0.2493,-0.2476,-0.1301,0.4782,-0.1839,-0.0608,-0.6745,0.6334,-0.0051,-0.4693,0.6519,0.2249,0.1596,-0.1935,0.1441,0.1209,0.5768,0.0497,0.4021,0.2257,0.6155,-0.3897,-0.2411,-0.4298,0.3456,0.0913,-0.6506,0.2558,0.2327,0.1473,-0.3249,-0.4695,0.4732
Eastern Cape,0.6534,0.3024,-0.2272,0.4511,0.4287,-0.3439,-0.1679,0.2065,0.5889,-0.2529,0.3689,0.0187,-0.2206,-0.3802,-0.2099,0.5798,0.2517,-0.0428,-0.3788,-0.0745,-0.1147,0.2322,-0.3047,0.0533,-0.4471,0.0502,-0.2131,0.4391,-0.2131,0.0722,-0.5801,0.2475,-0.5823,0.4282,-0.2159,-0.0169,-0.0551,-0.1604,-0.2076,0.1549,-0.4706,-0.5124,-0.4683,0.5673,0.1519,0.1752,0.3148,-0.5773,-0.1579,0.2543
Free State,-0.1028,0.0894,-0.4589,0.1136,-0.3655,0.5084,-0.0577,0.3029,-0.5358,-0.6119,0.1117,-0.3475,0.1241,0.3425,-0.5326,0.2711,-0.5681,0.1675,-0.1321,0.5395,-0.0986,0.2425,-0.5184,-0.1245,-0.1321,-0.2479,0.0548,-0.1547,0.2528,-0.0652,0.2531,-0.4689,-0.1166,0.1393,-0.4985,-0.0728,-0.4012,0.0609,-0.2256,0.4319,0.3609,0.2585,0.0847,-0.4594,-0.3946,0.4254,0.1125,0.3013,0.3974,-0.3213
Gauteng,0.967,0.95,0.82,0.4024,0.9,0.85,0.84,0.9,0.91,0.9,0.8,0.5313,0.3433,0.81,-0.1844,-0.2511,0.1079,0.5209,-0.7,0.6,0.801,0.7,0.65,0.93,0.0383,0.32,0.966,-0.0305,0.5235,-0.1277,0.1007,-0.1537,0.2339,-0.5332,0.3533,-0.2928,-0.1886,0.5702,-0.4788,-0.0598,0.4371,0.0306,0.2195,0.3873,0.2889,-0.5542,0.5821,-0.0886,-0.1751,0.2142
KwaZulu-Natal,-0.1516,0.1789,0.5538,-0.3049,0.1881,0.4909,-0.5081,-0.5399,0.1407,-0.1792,-0.2558,-0.3791,0.5318,-0.2529,-0.5142,-0.3547,0.3496,0.4314,-0.5828,0.1849,0.1701,0.4254,0.0698,-0.2832,0.2505,0.0977,-0.3046,0.4785,-0.5599,0.1526,0.5868,-0.1619,-0.0291,-0.5235,0.4306,0.2505,0.3971,-0.1829,0.3613,0.5066,-0.3922,0.5085,-0.3126,0.5174,-0.3057,0.2853,-0.3031,-0.0856,-0.2452,-0.2734
Limpopo,0.4862,0.4765,-0.1452,-0.2829,-0.5236,0.0192,-0.5707,0.3149,-0.5378,-0.0655,0.1594,-0.2327,-0.2103,-0.5293,0.3067,-0.0977,-0.2148,-0.3017,-0.2649,0.3943,0.4772,-0.1804,0.4552,-0.2849,-0.2119,-0.4668,0.1089,-0.5471,-0.5176,0.1067,0.1853,0.3307,0.4281,-0.4329,-0.0588,-0.4531,-0.1864,0.3098,0.5602,-0.0907,0.5,-0.1572,-0.3443,-0.4049,-0.2338,-0.4827,-0.4996,0.4648,0.0704,0.1288
Mpumalanga,-0.2651,-0.0763,-0.3318,-0.2397,-0.0403,0.0431,-0.4126,-0.1375,0.3783,-0.2358,-0.4789,-0.2787,0.2282,0.2064,-0.0577,0.4238,-0.5037,0.3419,-0.2439,0.3471,0.2475,0.5367,0.1127,-0.3135,-0.4404,-0.1059,-0.3737,0.1179,0.4851,-0.0956,-0.2162,-0.1341,-0.0707,-0.0302,-0.2143,0.0435,-0.1825,-0.5375,0.1237,0.3123,0.4512,-0.3931,0.4012,-0.0229,0.5546,0.2087,-0.3398,-0.2816,-0.1447,0.3584
Northern Cape,-0.0276,0.2403,-0.4165,-0.5403,0.1402,-0.1252,-0.2999,0.0809,-0.5315,-0.1229,0.4521,-0.1296,0.4811,0.0433,-0.0492,-0.0463,-0.3397,0.1345,-0.3014,0.5223,0.2503,-0.1328,0.4468,-0.2118,-0.2205,-0.0561,0.1225,0.2968,-0.1832,0.3182,0.1299,0.1399,-0.2649,-0.3769,-0.2837,0.2355,-0.2787,0.3959,0.2093,0.4677,0.3394,0.3441,0.2578,0.5414,-0.1626,-0.2273,0.3078,-0.3061,0.5271,0.3993
North West,-0.0413,-0.1934,0.0938,0.5135,0.4722,-0.5336,-0.0802,-0.0495,-0.5636,0.1614,-0.4472,-0.4789,0.2699,0.5351,-0.4583,0.0249,0.2559,0.2488,-0.2957,-0.1845,0.4515,-0.3681,-0.3598,-0.4638,0.4128,-0.4177,-0.5179,-0.3929,-0.1772,-0.0293,-0.5132,0.1068,-0.3289,-0.2187,0.2025,-0.0502,0.3343,-0.4929,-0.2862,0.4678,-0.2515,-0.3558,0.1758,-0.4176,0.2729,-0.2667,0.3371,-0.5185,-0.3328,0.5016
Western Cape,0.5139,-0.4293,0.5764,-0.3995,0.3475,-0.0275,-0.4594,-0.5358,0.0642,-0.3276,-0.3969,-0.2051,-0.4078,0.5359,0.0899,0.5019,-0.1042,0.1483,-0.2233,-0.3987,0.5184,-0.2752,-0.0935,0.5103,-0.0462,0.4277,0.2055,-0.1604,-0.2136,0.5378,0.1382,-0.4727,-0.3162,0.1579,0.0345,-0.4116,-0.2128,0.0584,-0.3584,-0.3847,0.3385,0.2962,-0.0912,0.4268,0.2307,0.4391,0.4017,0.2661,-0.2859,0.4729
