date,sentiment score,topic,comment
2025-01-01,0.8,Telkom,"Telkom's service was excellent today!"
2025-01-02,-0.5,Telkom,"I had a terrible experience with Telkom support."
2025-01-03,0.2,Internet,"The internet speed from Telkom was okay."
2025-01-04,-0.7,Telkom,"Telkom's billing system is frustrating."
2025-01-05,0.5,Telkom,"I am happy with Telkom's fiber connection."
2025-01-06,-0.3,Network,"Telkom network was down for hours."
2025-01-07,0.1,Telkom,"Telkom's mobile data is expensive but decent."
2025-01-08,0.4,Internet,"Telkom WiFi was stable today."
2025-01-09,-0.6,Telkom,"Telkom overcharged me this month."
2025-01-10,0.7,Customer Service,"Telkom's support team was helpful!"
2025-01-11,0.9,Telkom,"Fastest installation I've experienced with Telkom."
2025-01-12,-0.4,Telkom,"Poor customer service at the Telkom store."
2025-01-13,0.3,Internet,"My Telkom fiber connection is stable."
2025-01-14,-0.8,Telkom,"Another outage today, very disappointed."
2025-01-15,0.6,Telkom,"Telkom resolved my issue quickly!"
2025-01-16,-0.2,Network,"Slow speeds on Telkom mobile today."
2025-01-17,0.5,Telkom,"Loving my new Telkom 5G connection!"
2025-01-18,-0.9,Telkom,"Terrible experience, long call center wait times."
2025-01-19,0.4,Internet,"Telkom's broadband upgrade was smooth."
2025-01-20,-0.1,Telkom,"Unexpected charges on my Telkom bill."
2025-01-21,0.7,Telkom,"Telkom's customer care was friendly today!"
2025-01-22,-0.5,Telkom,"Still no resolution to my complaint."
2025-01-23,0.2,Internet,"My Telkom ADSL is still working well."
2025-01-24,-0.6,Telkom,"Frequent network disruptions recently."
2025-01-25,0.8,Telkom,"Happy with my new Telkom contract!"
2025-01-26,-0.7,Telkom,"Billing issues with Telkom again!"
2025-01-27,0.3,Internet,"Speeds are fine, but Telkom should offer more data."
2025-01-28,-0.9,Telkom,"Worst experience trying to get a refund."
2025-01-29,0.5,Telkom,"Reliable network today."
2025-01-30,-0.3,Network,"Frequent call drops on Telkom mobile."
2025-01-31,0.6,Telkom,"Fiber is working great!"
2025-02-01,-0.4,Telkom,"Still no technician visit after two weeks."
2025-02-02,0.7,Internet,"Very happy with my Telkom internet connection."
2025-02-03,-0.2,Telkom,"Data prices should be lower."
2025-02-04,0.5,Telkom,"Installation process was smooth!"
2025-02-05,-0.8,Telkom,"Customer service is unresponsive."
2025-02-06,0.4,Internet,"Finally got a Telkom signal boost."
2025-02-07,-0.1,Telkom,"Overpromised speeds, underdelivered service."
2025-02-08,0.9,Telkom,"Happy with the Telkom app improvements!"
2025-02-09,-0.6,Telkom,"Billing system is still a nightmare."
2025-02-10,0.2,Internet,"Better speed compared to last month."
2025-02-11,-0.7,Telkom,"Another outage today. Frustrating!"
2025-02-12,0.8,Telkom,"Great customer service today!"
2025-02-13,-0.3,Network,"Call quality has been poor."
2025-02-14,0.4,Telkom,"Satisfied with my current plan."
2025-02-15,-0.9,Telkom,"Still waiting for a resolution on my case."
2025-02-16,0.7,Internet,"Loving the new Telkom fiber upgrade!"
2025-02-17,-0.5,Telkom,"They overcharged me again!"
2025-02-18,0.3,Telkom,"At least the app works well."
2025-02-19,-0.2,Network,"Signal issues in my area."
2025-02-20,0.6,Telkom,"Fiber is finally stable!"
2025-02-21,-0.8,Telkom,"Support takes too long to respond."
2025-02-22,0.9,Telkom,"Happy with my Telkom data package!"
2025-02-23,-0.7,Telkom,"Service outages are becoming common."
2025-02-24,0.4,Internet,"My speeds have improved."
2025-02-25,-0.1,Telkom,"Telkom's roaming services are unreliable."
2025-02-26,0.5,Telkom,"Fast customer support response today!"
2025-02-27,-0.6,Telkom,"They didn't fix my issue properly."
2025-02-28,0.2,Internet,"Internet performance has been steady."
2025-03-01,-0.4,Telkom,"Poor mobile coverage in my town."
2025-03-02,0.7,Telkom,"Loving the new 5G network!"
2025-03-03,-0.3,Network,"Call drops are frequent lately."
2025-03-04,0.8,Telkom,"Smooth experience overall!"
2025-03-05,-0.5,Telkom,"Telkom should improve their customer service."
2025-03-06,0.3,Internet,"WiFi was stable today."
2025-03-07,-0.8,Telkom,"Billing errors again!"
2025-03-08,0.6,Telkom,"Great speeds this weekend!"
2025-03-09,-0.7,Telkom,"Still no resolution on my complaint."
2025-03-10,0.9,Internet,"Very happy with my Telkom fiber package!"
2025-03-11,-0.4,Telkom,"Bad experience with customer service."
2025-03-12,0.7,Telkom,"Telkom's new plans are good!"
2025-03-13,-0.5,Telkom,"Mobile data too expensive."
2025-03-14,0.2,Internet,"Internet is working fine."
2025-03-15,-0.8,Telkom,"Still experiencing slow speeds."
2025-03-16,0.6,Telkom,"Customer service was helpful today."
2025-03-17,-0.3,Network,"Telkom's signal fluctuates."
2025-03-18,0.5,Telkom,"I got my issue resolved quickly."
2025-03-19,-0.9,Telkom,"Frustrated with the service!"
2025-03-20,0.8,Internet,"Smooth internet browsing today."
date,sentiment score,topic,comment
2025-03-21,-0.2,Telkom,"Telkom's app needs improvement."
2025-03-22,0.4,Internet,"Speeds are consistent this week."
2025-03-23,-0.6,Telkom,"Still waiting for a technician."
2025-03-24,0.7,Telkom,"Happy with the new Telkom plans!"
2025-03-25,-0.1,Network,"Call quality is poor today."
2025-03-26,0.5,Telkom,"Fiber connection is reliable."
2025-03-27,-0.7,Telkom,"Billing issues persist."
2025-03-28,0.3,Internet,"WiFi performance is good."
2025-03-29,-0.4,Telkom,"Customer service is unhelpful."
2025-03-30,0.6,Telkom,"Great experience with Telkom today!"
2025-03-31,-0.5,Telkom,"Mobile data is too expensive."
2025-04-01,0.8,Internet,"Telkom fiber is working perfectly!"
2025-04-02,-0.3,Telkom,"Frequent network issues."
2025-04-03,0.4,Telkom,"Satisfied with the service today."
2025-04-04,-0.9,Telkom,"Still no resolution on my complaint."
2025-04-05,0.7,Internet,"Speeds are excellent this month."
2025-04-06,-0.2,Telkom,"Telkom's app is glitchy."
2025-04-07,0.5,Telkom,"Quick response from customer support."
2025-04-08,-0.6,Telkom,"Billing system is still confusing."
2025-04-09,0.9,Internet,"Very happy with my Telkom connection!"
2025-04-10,-0.4,Telkom,"Poor mobile coverage in my area."
2025-04-11,0.6,Telkom,"Telkom's 5G is amazing!"
2025-04-12,-0.7,Telkom,"Another outage today."
2025-04-13,0.3,Internet,"WiFi is stable and fast."
2025-04-14,-0.5,Telkom,"Customer service needs improvement."
2025-04-15,0.8,Telkom,"Great experience with Telkom today!"
2025-04-16,-0.1,Network,"Call drops are frequent."
2025-04-17,0.4,Telkom,"Fiber connection is reliable."
2025-04-18,-0.8,Telkom,"Billing errors again!"
2025-04-19,0.7,Internet,"Speeds are excellent this month."
2025-04-20,-0.3,Telkom,"Telkom's app is glitchy."
2025-04-21,0.5,Telkom,"Quick response from customer support."
2025-04-22,-0.6,Telkom,"Billing system is still confusing."
2025-04-23,0.9,Internet,"Very happy with my Telkom connection!"
2025-04-24,-0.4,Telkom,"Poor mobile coverage in my area."
2025-04-25,0.6,Telkom,"Telkom's 5G is amazing!"
2025-04-26,-0.7,Telkom,"Another outage today."
2025-04-27,0.3,Internet,"WiFi is stable and fast."
2025-04-28,-0.5,Telkom,"Customer service needs improvement."
2025-04-29,0.8,Telkom,"Great experience with Telkom today!"
2025-04-30,-0.1,Network,"Call drops are frequent."
